id,state,city,country,job_title,primary_skills,secondary_skills,experience_lower,experience_upper,designation
5402,,,United States,,"SQL,Azure Databricks,Azure Data Factory (ADF),Oracle PL/SQL,Python",AWS PaaS,0,0,Azure Data Lead US TP
1450,,Mumbai,India,,"Full Stack - Java,React,Angular",,0,0,"Developer with React, Full Stack - Java, Angular"
5388,,,Malaysia,,"Kotlin,Java",,0,0,Kotlin Senior Developer with Java
5118,,Noida,India,,"C#,C++,Python",,0,0,"Senior Developer with c#,python,c++"
5284,,Noida,India,,"Spring MVC,HTML,Java",DevOps-API_TeamCity,0,0,"Technical lead with Java, Spring MVC, HTML"
4913,,,United States,,"SQL,IBM Infosphere Datastage Suite",SAFe- Agile SW Engineering (ASE),0,0,Datastage Engineer
4837,,,Australia,,"React,Javascript,CSS",,0,0,GEO Testing USA - SAN 1
5273,,,India,,"ASP.Net,.Net,SQL Server","DevOps-API_TeamCity,Greenplum",0,0,Microsoft C# Technical Lead
4632,,,Australia,,"Kotlin,Java",AWS PaaS,0,0,Kotlin Senior Developer with Java
3323,,,Slovakia,,"CAD Design Skills,Javascript,Jquery",,0,0,"Designer with javascript,CAD Design Skills,Jquery Slovakia"
DFS__DFS__2025__2660292,,Hyderabad,India,,SAP,,0,0,ASSOCIATE CONSULTANT
4437,,,Canada,,"SQL,Azure Databricks,Azure Data Factory (ADF),Oracle PL/SQL,Python",AWS PaaS,0,0,Azure Data Lead
4007,,Noida,India,,"SQL,Azure Data Factory (ADF)","DevOps-API_TeamCity,Agile-Scrum (Digital),Intellect - GCB",0,0,Azure Data Engineer
5390,,,France,,"Kotlin,Java",,0,0,Kotlin Senior Developer with Java
5205,,,United Kingdom,,"Microservices,Vue JS,Java",,0,0,"Developer Java, Microservices, VueJS"
1419,,,India,,"Oracle PL/SQL,Obsolete - Python,Java",,0,0,"Developer python,PL/SQL,java"
4852,,,Singapore,,"Docker,Spring Boot,Amazon Web Services (AWS),Java",,0,0,Tech Lead Java Spring Boot AWS Docker
4863,,,India,,"Microservices,Vue JS,Java",,0,0,Sr Tech Speclst Java Microservices VueJS
2142,,,United Kingdom,,"Microservices,Vue JS,Java",Gear Design,0,0,"Developer Java, Microservices, VueJS"
2393,,,Japan,,"Microservices,Vue JS,Java",Functional Automation,0,0,"Developer Java, Microservices, VueJS"
1876,,,Finland,,"Microservices,Node.js,Amazon Web Services (AWS),Java",MySQL,0,0,"Tech lead Java, Node.js, Microservices"
3978,,,United States,,"Microservices,React.js,Java",,0,0,"Developer Java, Microservices,React.js"
1409,,,India,,"Devops,AWS GLUE,Snowflake,Obsolete - Python,ANSI SQL",,0,0,AWS Data Sr. Tech. Spec.
5259,,,Lithuania,,"Customer Focus,Data Analytics And Business Intelligence,Billing/Invoicing,Accounting/Month End Activities",,0,0,Associate
5838,,,Chile,,HP UX,,0,0,Senior Support Manager
5758,,,Mexico,,HP UX,,0,0,Sr. Management Consultant I
5793,,,Guatemala,,HP UX,,0,0,Senior Process Trainer
5794,,,Guatemala,,Functional Automation,,0,0,Senior Account Manager
5277,,,United Kingdom,,"Voice and Accent,Learning Agility",,0,0,Process Associate
5347,,,Brazil,,"JavaScript,React.js,Java",,0,0,Senior ERP Specialist
5753,,,United States,,HP UX,,0,0,Contract retainer
5764,,,United States,,HP UX,,0,0,Account Manager
5745,,,United States,,HP UX,,0,0,Analyst
5777,,,Bulgaria,,HP UX,,0,0,Contract retainer
5788,,,Morocco,,India Taxation,,0,0,Associate
5781,,,Costa Rica,,HP UX,,0,0,Associate
5774,,,India,,"Mongo DB,Spring Boot,Java",,0,0,Lead Consultant
5642,,,Bulgaria,,Gear Design,,0,0,Contract retainer
5530,,,Denmark,,Gear Design,,0,0,Enterprise Architect II
5776,,,Bulgaria,,HP UX,,0,0,Contract retainer
5209,,,India,,"iOS,Android,Java",,0,0,Analyst
5630,,,Singapore,,HP UX,,0,0,Enterprise Architect II
5719,,,Saudi Arabia,,"Microservices,React.js,Java",,0,0,Lead Consultant
5313,,,India,,"Oracle PL/SQL,Obsolete - Python,Java",,0,0,Associate
5391,,,India,,"C#,Azure DevOps,.NET",,0,0,Senior Development Lead
5735,,,United States,,"C#,Angular,.NET",,0,0,Senior Software Developer
5496,,,Norway,,"iOS,Android,Java",,0,0,Analyst
5498,,,Romania,,"iOS,Android,Java",,0,0,Analyst
5604,,,Spain,,"Microservices,Vue JS,Java",,0,0,Senior ERP Specialist
